"","estimate","2.5 %","97.5 %"
"INIT.V2.FRAC",1.26152272173552e-05,3.17784865000322e-06,5.00777460251522e-05
"REL.BETA.RATE2",2.98031767348332,2.70642290511344,3.2542124418532
"PROB.REINFEC.V2",0.0340811804072955,0.0304707917416717,0.0381025408004606
"prevalence",83.9479565297353,1.59992519775205,1.7087965646881
"r",0.0433150639017474,0.0397877937727672,0.0468423340307276
