t_start,t_end,P.1,total,source
2020-11-01,2020-11-30,0,28,"fiocruz"
2020-12-01,2020-12-31,55,109,"fiocruz"
2021-01-01,2021-01-31,55,60,"fiocruz"
2020-11-05,2020-11-05,0,9,"cadde"
2020-11-12,2020-11-12,0,2,"cadde"
2020-11-16,2020-11-16,0,4,"cadde"
2020-12-04,2020-12-04,1,2,"cadde"
2020-12-10,2020-12-10,1,7,"cadde"
2020-12-18,2020-12-18,7,24,"cadde"
2020-12-23,2020-12-23,20,37,"cadde"
2020-12-29,2020-12-29,8,14,"cadde"
2021-01-05,2021-01-05,40,46,"cadde"
