"sg_uf","age_clas","N.srag","N.covid"
"AC",0,81,7
"AC",10,34,3
"AC",15,47,13
"AC",20,65,22
"AC",25,99,44
"AC",30,144,79
"AC",35,160,90
"AC",40,209,125
"AC",45,228,127
"AC",5,47,4
"AC",50,241,135
"AC",55,208,129
"AC",60,240,151
"AC",65,245,142
"AC",70,192,134
"AC",75,164,103
"AC",80,129,69
"AC",85,91,49
"AC",90,56,33
"AL",0,492,110
"AL",10,148,35
"AL",15,103,45
"AL",20,190,91
"AL",25,262,139
"AL",30,413,239
"AL",35,580,357
"AL",40,768,451
"AL",45,871,546
"AL",5,271,61
"AL",50,1015,617
"AL",55,1072,647
"AL",60,1289,822
"AL",65,1359,851
"AL",70,1238,763
"AL",75,1134,668
"AL",80,902,560
"AL",85,522,288
"AL",90,369,207
"AM",0,1059,563
"AM",10,341,216
"AM",15,445,316
"AM",20,707,514
"AM",25,1037,764
"AM",30,1302,1023
"AM",35,1802,1396
"AM",40,2070,1629
"AM",45,2319,1787
"AM",5,530,313
"AM",50,2343,1824
"AM",55,2672,2095
"AM",60,2867,2261
"AM",65,2970,2400
"AM",70,2453,1993
"AM",75,2077,1676
"AM",80,1568,1235
"AM",85,946,743
"AM",90,611,490
"AP",0,191,166
"AP",10,56,48
"AP",15,53,39
"AP",20,87,75
"AP",25,105,80
"AP",30,133,110
"AP",35,168,154
"AP",40,210,183
"AP",45,176,157
"AP",5,90,79
"AP",50,211,192
"AP",55,245,218
"AP",60,227,204
"AP",65,224,200
"AP",70,200,181
"AP",75,178,153
"AP",80,97,83
"AP",85,71,61
"AP",90,53,41
"BA",0,1633,291
"BA",10,539,126
"BA",15,463,159
"BA",20,656,262
"BA",25,947,482
"BA",30,1497,884
"BA",35,2134,1355
"BA",40,2441,1618
"BA",45,2643,1779
"BA",5,935,195
"BA",50,2908,1999
"BA",55,3483,2340
"BA",60,3764,2588
"BA",65,4110,2821
"BA",70,4047,2634
"BA",75,3629,2394
"BA",80,3524,2198
"BA",85,2317,1414
"BA",90,1810,1016
"CE",0,2028,271
"CE",10,730,112
"CE",15,642,205
"CE",20,849,389
"CE",25,1147,586
"CE",30,1626,911
"CE",35,2048,1161
"CE",40,2153,1292
"CE",45,2369,1427
"CE",5,1099,149
"CE",50,2939,1825
"CE",55,3432,2188
"CE",60,3661,2327
"CE",65,3973,2534
"CE",70,4373,2743
"CE",75,4124,2566
"CE",80,3984,2375
"CE",85,2698,1529
"CE",90,1971,1016
"DF",0,869,123
"DF",10,290,56
"DF",15,203,67
"DF",20,423,218
"DF",25,619,377
"DF",30,1019,694
"DF",35,1400,1051
"DF",40,1750,1330
"DF",45,1876,1446
"DF",5,550,70
"DF",50,2186,1716
"DF",55,2294,1795
"DF",60,2305,1752
"DF",65,2262,1750
"DF",70,2144,1584
"DF",75,1862,1350
"DF",80,1634,1102
"DF",85,1025,665
"DF",90,793,472
"ES",0,479,49
"ES",10,97,16
"ES",15,128,37
"ES",20,181,73
"ES",25,239,111
"ES",30,401,217
"ES",35,504,309
"ES",40,585,392
"ES",45,631,433
"ES",5,201,25
"ES",50,775,519
"ES",55,997,657
"ES",60,1108,744
"ES",65,1163,821
"ES",70,1137,797
"ES",75,991,682
"ES",80,935,586
"ES",85,734,453
"ES",90,530,315
"GO",0,918,113
"GO",10,271,43
"GO",15,309,78
"GO",20,622,271
"GO",25,937,490
"GO",30,1365,832
"GO",35,1868,1261
"GO",40,2289,1575
"GO",45,2520,1771
"GO",5,512,82
"GO",50,2890,2047
"GO",55,3265,2299
"GO",60,3558,2530
"GO",65,3569,2480
"GO",70,3517,2373
"GO",75,2975,1923
"GO",80,2618,1640
"GO",85,1673,1059
"GO",90,1003,576
"MA",0,345,58
"MA",10,128,28
"MA",15,150,53
"MA",20,261,88
"MA",25,439,197
"MA",30,654,275
"MA",35,763,348
"MA",40,815,444
"MA",45,764,383
"MA",5,216,43
"MA",50,896,433
"MA",55,1096,580
"MA",60,1193,661
"MA",65,1290,696
"MA",70,1276,714
"MA",75,1157,666
"MA",80,1015,562
"MA",85,623,342
"MA",90,482,254
"MG",0,3559,283
"MG",10,1006,84
"MG",15,900,165
"MG",20,1781,462
"MG",25,2461,887
"MG",30,3539,1564
"MG",35,4870,2409
"MG",40,5961,3031
"MG",45,6498,3383
"MG",5,2315,165
"MG",50,8090,4342
"MG",55,10080,5318
"MG",60,11083,5806
"MG",65,11912,6239
"MG",70,11642,5830
"MG",75,10681,5060
"MG",80,10241,4531
"MG",85,7666,3177
"MG",90,5709,2053
"MS",0,700,69
"MS",10,198,23
"MS",15,193,41
"MS",20,360,113
"MS",25,615,272
"MS",30,846,496
"MS",35,1179,716
"MS",40,1241,836
"MS",45,1372,960
"MS",5,331,33
"MS",50,1603,1102
"MS",55,1878,1312
"MS",60,1909,1287
"MS",65,1843,1213
"MS",70,1781,1100
"MS",75,1354,759
"MS",80,1172,649
"MS",85,798,405
"MS",90,525,269
"MT",0,304,90
"MT",10,117,41
"MT",15,199,89
"MT",20,352,166
"MT",25,572,303
"MT",30,822,480
"MT",35,1135,710
"MT",40,1187,752
"MT",45,1247,786
"MT",5,184,52
"MT",50,1475,949
"MT",55,1535,1019
"MT",60,1505,987
"MT",65,1462,926
"MT",70,1282,806
"MT",75,1065,676
"MT",80,792,452
"MT",85,498,301
"MT",90,296,164
"PA",0,1388,402
"PA",10,424,151
"PA",15,548,233
"PA",20,839,408
"PA",25,1069,582
"PA",30,1473,873
"PA",35,2020,1282
"PA",40,2066,1299
"PA",45,2219,1500
"PA",5,679,204
"PA",50,2395,1565
"PA",55,2688,1764
"PA",60,2905,1895
"PA",65,3216,2120
