"sg_uf","age_clas","N.srag","N.covid"
"PA",70,2960,1968
"PA",75,2682,1799
"PA",80,2179,1397
"PA",85,1268,814
"PA",90,853,502
"PB",0,925,125
"PB",10,305,62
"PB",15,320,112
"PB",20,427,224
"PB",25,529,282
"PB",30,708,424
"PB",35,899,570
"PB",40,971,641
"PB",45,1048,688
"PB",5,466,77
"PB",50,1306,890
"PB",55,1451,973
"PB",60,1522,1042
"PB",65,1574,1067
"PB",70,1763,1177
"PB",75,1657,1068
"PB",80,1559,997
"PB",85,1089,672
"PB",90,888,506
"PE",0,2757,430
"PE",10,769,131
"PE",15,611,171
"PE",20,967,354
"PE",25,1436,647
"PE",30,1896,982
"PE",35,2344,1274
"PE",40,2796,1540
"PE",45,2908,1614
"PE",5,1548,203
"PE",50,3504,1941
"PE",55,4062,2210
"PE",60,4364,2266
"PE",65,4600,2357
"PE",70,4728,2411
"PE",75,4306,2174
"PE",80,3865,1839
"PE",85,2398,1134
"PE",90,1906,879
"PI",0,400,80
"PI",10,142,40
"PI",15,174,75
"PI",20,255,135
"PI",25,419,269
"PI",30,633,420
"PI",35,772,547
"PI",40,875,645
"PI",45,876,648
"PI",5,238,50
"PI",50,957,712
"PI",55,1049,799
"PI",60,1280,948
"PI",65,1326,973
"PI",70,1420,1025
"PI",75,1200,850
"PI",80,1122,803
"PI",85,768,526
"PI",90,533,341
"PR",0,2342,178
"PR",10,756,84
"PR",15,736,136
"PR",20,1372,379
"PR",25,1972,860
"PR",30,2622,1399
"PR",35,3444,1975
"PR",40,4135,2406
"PR",45,4901,2954
"PR",5,1376,106
"PR",50,5814,3412
"PR",55,7103,4168
"PR",60,7572,4244
"PR",65,8015,4218
"PR",70,7613,3663
"PR",75,6943,3079
"PR",80,5757,2329
"PR",85,3922,1482
"PR",90,2471,873
"RJ",0,4431,515
"RJ",10,1163,229
"RJ",15,785,272
"RJ",20,1438,614
"RJ",25,2115,1085
"RJ",30,3155,1914
"RJ",35,4806,3055
"RJ",40,6141,3997
"RJ",45,6917,4647
"RJ",5,2340,310
"RJ",50,8060,5397
"RJ",55,10025,6764
"RJ",60,11176,7623
"RJ",65,12209,8391
"RJ",70,11481,7904
"RJ",75,9409,6461
"RJ",80,8357,5636
"RJ",85,6212,4117
"RJ",90,4563,3006
"RN",0,467,70
"RN",10,174,32
"RN",15,120,40
"RN",20,193,84
"RN",25,295,136
"RN",30,416,244
"RN",35,592,408
"RN",40,615,417
"RN",45,680,458
"RN",5,281,39
"RN",50,854,601
"RN",55,963,685
"RN",60,1052,729
"RN",65,1005,690
"RN",70,1151,779
"RN",75,1050,650
"RN",80,1007,619
"RN",85,632,384
"RN",90,560,315
"RO",0,171,44
"RO",10,59,25
"RO",15,91,38
"RO",20,160,82
"RO",25,223,122
"RO",30,343,226
"RO",35,433,312
"RO",40,486,337
"RO",45,544,404
"RO",5,98,49
"RO",50,671,483
"RO",55,778,569
"RO",60,729,523
"RO",65,719,523
"RO",70,635,466
"RO",75,484,332
"RO",80,409,306
"RO",85,213,146
"RO",90,123,78
"RR",0,28,9
"RR",10,6,2
"RR",15,18,11
"RR",20,21,16
"RR",25,40,35
"RR",30,54,48
"RR",35,79,67
"RR",40,92,77
"RR",45,126,110
"RR",5,13,7
"RR",50,111,99
"RR",55,149,129
"RR",60,144,124
"RR",65,176,151
"RR",70,159,128
"RR",75,123,104
"RR",80,90,69
"RR",85,69,56
"RR",90,34,30
"RS",0,1278,168
"RS",10,334,46
"RS",15,412,132
"RS",20,810,340
"RS",25,1222,699
"RS",30,1786,1165
"RS",35,2663,1847
"RS",40,3052,2213
"RS",45,3605,2638
"RS",5,711,93
"RS",50,4293,3132
"RS",55,5431,3814
"RS",60,6259,4257
"RS",65,6723,4484
"RS",70,6573,4284
"RS",75,5601,3453
"RS",80,4807,2808
"RS",85,3451,1958
"RS",90,2265,1204
"SC",0,1010,115
"SC",10,354,52
"SC",15,246,75
"SC",20,533,212
"SC",25,897,502
"SC",30,1238,794
"SC",35,1805,1322
"SC",40,2147,1616
"SC",45,2422,1774
"SC",5,567,62
"SC",50,2965,2190
"SC",55,3520,2567
"SC",60,3873,2755
"SC",65,3987,2756
"SC",70,3671,2494
"SC",75,2895,1909
"SC",80,2622,1547
"SC",85,1625,929
"SC",90,1054,598
"SE",0,734,342
"SE",10,161,87
"SE",15,137,88
"SE",20,222,143
"SE",25,240,162
"SE",30,317,234
"SE",35,488,361
"SE",40,554,407
"SE",45,584,459
"SE",5,353,169
"SE",50,780,584
"SE",55,795,606
"SE",60,881,708
"SE",65,930,698
"SE",70,982,735
"SE",75,832,625
"SE",80,723,522
"SE",85,494,351
"SE",90,395,274
"SP",0,12339,1258
"SP",10,3923,569
"SP",15,2997,771
"SP",20,6088,2332
"SP",25,9131,4472
"SP",30,13663,7850
"SP",35,19505,12326
"SP",40,22801,14976
"SP",45,25118,16372
"SP",5,7947,781
"SP",50,29116,19215
"SP",55,32888,21293
"SP",60,35439,22499
"SP",65,35950,22452
"SP",70,33454,20052
"SP",75,28686,16243
"SP",80,24711,13146
"SP",85,18082,8920
"SP",90,13224,6097
"TO",0,510,66
"TO",10,150,29
"TO",15,91,26
"TO",20,142,59
"TO",25,163,75
"TO",30,283,148
"TO",35,343,181
"TO",40,414,246
"TO",45,390,251
"TO",5,315,47
"TO",50,473,293
"TO",55,548,328
"TO",60,539,327
"TO",65,554,328
"TO",70,525,319
"TO",75,533,318
"TO",80,452,276
"TO",85,283,150
"TO",90,212,113
